timestamp,cpu_percent,bytes_sent,player1_pos_x,player1_pos_y
1765032431.9468806,0.0,0,0,0
1765032431.9976733,58.3,0,0,0
1765032432.0484807,58.3,0,0,0
1765032432.0993598,55.2,0,0,0
1765032432.150212,44.4,0,0,0
1765032432.2010798,50.0,0,0,0
1765032432.2519383,54.2,0,0,0
1765032432.3029006,56.2,0,0,0
1765032432.3533664,58.3,0,0,0
1765032432.4036329,50.0,0,0,0
1765032432.4540172,50.0,0,0,0
1765032432.504474,58.3,0,0,0
1765032432.554888,55.2,0,0,0
1765032432.6053321,44.4,0,0,0
1765032432.655706,50.0,0,0,0
1765032432.706061,50.0,0,0,0
1765032432.7565668,75.0,0,0,0
1765032432.8069065,65.2,0,0,0
1765032432.8573365,48.0,0,0,0
1765032432.9077332,58.3,0,0,0
1765032432.9581263,55.2,0,0,0
1765032433.008645,51.9,0,0,0
1765032433.058984,50.0,0,0,0
1765032433.1093595,50.0,0,0,0
1765032433.1597629,50.0,0,0,0
1765032433.2101612,55.2,0,0,0
1765032433.2605422,51.9,0,0,0
1765032433.31097,50.0,0,0,0
1765032433.3613656,50.0,0,0,0
1765032433.4118078,55.2,0,0,0
1765032433.4621923,50.0,0,0,0
1765032433.5125725,44.4,0,0,0
1765032433.5629783,50.0,0,0,0
1765032433.6133692,50.0,0,0,0
1765032433.6637735,55.2,0,0,0
1765032433.7143424,48.1,0,0,0
1765032433.764537,66.7,0,0,0
1765032433.8149722,62.5,0,0,0
1765032433.8653758,66.7,0,0,0
1765032433.9157887,57.7,0,0,0
1765032433.9662335,62.5,0,0,0
1765032434.0166626,66.7,0,0,0
1765032434.0671067,62.5,0,0,0
1765032434.1174872,62.5,0,0,0
1765032434.167892,62.5,0,0,0
1765032434.2183003,62.5,0,0,0
1765032434.268689,70.8,0,0,0
1765032434.3190954,75.0,0,0,0
1765032434.3695302,79.2,0,0,0
1765032434.4199164,75.0,0,0,0
1765032434.4703226,75.0,0,0,0
1765032434.5207179,83.9,0,0,0
1765032434.5712123,76.0,0,0,0
1765032434.6216197,75.0,0,0,0
1765032434.6720273,83.3,0,0,0
1765032434.7224467,75.0,0,0,0
1765032434.77288,84.4,0,0,0
1765032434.8240042,95.8,996,0,0
1765032434.8747451,76.0,1378,0,0
1765032434.925645,70.8,1760,0,0
1765032434.9761145,81.2,2142,0,0
1765032435.026982,87.5,2524,0,1
1765032435.077349,75.0,2906,0,1
1765032435.1276104,79.2,3288,0,1
1765032435.1781101,75.0,3670,0,1
1765032435.2284992,83.3,4052,0,1
1765032435.278829,88.0,4434,0,1
1765032435.3299506,79.2,5913,0,1
1765032435.3802075,75.0,6677,0,1
1765032435.4307358,75.0,7441,0,1
1765032435.4815524,83.3,8205,0,3
1765032435.5318906,87.5,8969,0,3
1765032435.582409,83.3,9733,0,3
1765032435.6333225,84.4,10497,0,3
1765032435.6841593,75.0,11261,0,2
1765032435.7352674,87.5,12025,0,2
1765032435.785995,84.0,12789,0,2
1765032435.8367405,81.2,13802,0,2
1765032435.887615,66.7,15474,0,2
1765032435.9377952,62.5,16620,0,2
1765032435.9894505,87.5,18085,0,2
1765032436.0401456,75.0,19231,0,2
1765032436.0904036,66.7,20377,0,2
1765032436.140864,75.0,21523,0,2
1765032436.1913788,62.5,22669,0,2
1765032436.2422845,65.6,23815,0,1
1765032436.2928867,84.0,25281,0,1
1765032436.3432539,66.7,26427,0,1
1765032436.3947842,58.3,28930,0,1
1765032436.4446256,50.0,30458,1,1
1765032436.4950538,66.7,31986,1,1
1765032436.5454583,70.8,33514,1,1
1765032436.5960214,50.0,35042,1,1
1765032436.6463277,68.8,36570,2,1
1765032436.6972952,50.0,38098,2,1
1765032436.747766,54.2,39626,2,1
1765032436.7983437,56.0,41154,2,1
1765032436.8486857,54.2,43454,1,1
1765032436.8990455,50.0,44982,1,1
1765032436.949507,50.0,46510,1,1
1765032436.999883,70.8,48038,1,1
1765032437.0502396,70.8,49566,2,1
1765032437.1006663,50.0,51094,2,1
1765032437.1512196,50.0,52622,2,1
1765032437.2015216,50.0,54150,2,1
1765032437.252447,54.2,55678,2,2
1765032437.302834,53.1,57345,2,2
1765032437.3540761,58.3,58873,2,2
1765032437.4049115,50.0,60785,2,2
1765032437.4557455,54.2,62313,2,3
1765032437.5060444,56.2,63841,2,3
1765032437.5564618,66.7,65369,2,3
1765032437.606978,58.3,66897,2,3
1765032437.6578462,50.0,68425,1,3
1765032437.708449,53.1,69953,1,3
