client_id,cell_id,request_time,response_time,latency_ms,success,snapshot_id,seq_num
player_1,0_1,8848.82692021,8848.827925129,1,1,0,1
player_1,0_1,8849.823098208,8849.824099197,1,0,0,0
player_1,0_2,8850.824075692,8850.825076356,1,1,0,41
player_1,1_2,8851.823643710999,8851.82464462,1,1,0,64
player_1,0_2,8852.83973724,8852.840738542,1,0,0,0
player_1,1_3,8853.837515763,8853.838516776,1,1,0,106
player_1,1_2,8854.841346789999,8854.842347494,1,0,0,0
player_1,0_1,8855.843796666999,8855.84479779,1,0,0,0
player_1,1_0,8856.84637141,8856.847372374,1,1,0,173
player_1,2_0,8857.850167803,8857.851168513,1,1,0,195
player_1,3_1,8858.852951179,8858.853954878,1,1,0,217
player_1,4_1,8859.855772713,8859.856773681,1,1,0,241
player_1,3_0,8860.864252783,8860.865253553,1,1,0,264
player_1,3_1,8861.864777961,8861.865778899,1,0,0,0
player_1,5_0,8862.865586394999,8862.866587189,1,1,0,307
player_1,8_1,8863.869721797,8863.870722736,1,1,0,329
player_1,8_0,8864.872708457,8864.873709518,1,1,0,351
player_1,7_1,8865.871629514,8865.872630099,1,1,0,373
player_1,6_3,8866.874080477,8866.875081299,1,1,0,396
player_1,5_2,8867.876612564,8867.877613458,1,1,0,419
player_1,7_2,8868.876564942,8868.877566095,1,1,0,440
player_1,8_0,8869.881424105,8869.882424771,1,0,0,0
player_1,8_3,8870.884089121,8870.885090359,1,1,0,484
player_1,8_4,8871.882227783,8871.883228843,1,1,0,506
player_1,9_4,8872.884491444,8872.885492345,1,1,0,530
player_1,9_4,8873.893665126,8873.894665678,1,0,0,0
player_1,8_2,8874.892122510999,8874.893127802,1,1,0,573
player_1,10_2,8875.894676964,8875.895680834,1,1,0,595
player_1,12_2,8876.899357021,8876.900357858,1,1,0,616
player_1,12_1,8877.902986404999,8877.903987511,1,1,0,638
player_1,13_1,8878.906504759,8878.9075056,1,1,0,661
player_1,14_0,8879.908313001,8879.909314797,1,0,0,0
player_1,14_0,8880.90765598,8880.908656992,1,0,0,0
player_1,12_3,8881.914168142,8881.915168735,1,1,0,727
player_1,11_3,8882.918488836,8882.919489573,1,1,0,748
player_1,10_2,8883.920404629,8883.921407002,1,0,0,0
player_1,11_2,8884.924410335,8884.925410939,1,1,0,790
player_1,13_2,8885.925440329,8885.92644098,1,1,0,813
player_1,11_2,8886.929504828,8886.930505869,1,0,0,0
player_1,12_0,8887.928952025,8887.929953044,1,1,0,857
player_1,11_1,8888.932984644,8888.933985653,1,0,0,0
