client_id,cell_id,request_time,response_time,latency_ms,success,snapshot_id,seq_num
player_2,19_19,8848.978190980999,8848.979192448,1,1,0,5
player_2,17_18,8849.994973984,8849.995974691,1,1,0,23
player_2,17_17,8850.996934832,8850.997935427,1,1,0,45
player_2,16_19,8851.999899662,8852.000901129,1,1,0,69
player_2,17_17,8852.998378778,8852.999379822,1,0,0,0
player_2,17_16,8854.000584241,8854.001585428,1,1,0,111
player_2,17_16,8855.003916441,8855.004917739,1,0,0,0
player_2,16_15,8856.008194689,8856.009197572,1,1,0,153
player_2,16_15,8857.013094507,8857.014095365,1,0,0,0
player_2,18_16,8858.01735677,8858.018357698,1,1,0,199
player_2,19_16,8859.018283965,8859.019284484,1,1,0,221
player_2,19_14,8860.020362539999,8860.021363695,1,1,0,245
player_2,19_15,8861.023019416,8861.024020236,1,1,0,268
player_2,19_16,8862.023793209999,8862.024793707,1,0,0,0
player_2,17_15,8863.027740915,8863.028741654,1,1,0,311
player_2,18_17,8864.028990898,8864.029991547,1,1,0,333
player_2,18_16,8865.034329615999,8865.035331597,1,0,0,0
player_2,18_15,8866.037821112,8866.038822332,1,1,0,377
player_2,17_16,8867.042685225,8867.043686145,1,0,0,0
player_2,19_16,8868.044802892,8868.045804046,1,0,0,0
player_2,19_16,8869.049100412,8869.050102399,1,0,0,0
player_2,19_16,8870.050240749,8870.051242217,1,0,0,0
player_2,17_17,8871.055625149,8871.056626225,1,0,0,0
player_2,16_17,8872.058363801,8872.059364653,1,1,0,510
player_2,15_15,8873.064321681,8873.065322609,1,1,0,534
player_2,15_14,8874.064129972,8874.065130918,1,1,0,555
player_2,14_13,8875.068172448,8875.069173579,1,1,0,577
player_2,13_15,8876.075929835999,8876.076930418,1,1,0,599
player_2,16_14,8877.072597373,8877.073598074,1,1,0,621
player_2,18_13,8878.074365789,8878.075367018,1,1,0,642
player_2,17_11,8879.074199232,8879.075199944,1,1,0,666
player_2,14_12,8880.081149874,8880.082151235,1,1,0,687
player_2,14_9,8881.086641897,8881.087642679,1,1,0,710
player_2,15_10,8882.089798808,8882.090801681,1,1,0,731
player_2,17_11,8883.096409264,8883.097847831,1,0,0,0
player_2,16_10,8884.098472165,8884.099472726,1,1,0,773
player_2,16_9,8885.098116339,8885.099117589,1,1,0,795
player_2,19_9,8886.101917689999,8886.102918841,1,1,0,817
player_2,17_10,8887.107390112,8887.108391042,1,1,0,839
player_2,15_9,8888.111925826,8888.112926694,1,1,0,862
